schema_name,table_name
dm,hist_extgt_user_contact_detail
dm,hist_extgt_user_contact_detail_30days
dm,hist_extgt_user_question_detail
dm,hist_full_subscription_price_professional_active_date
dm,hist_full_subscription_price_professional_active_months
dm,hist_full_subscription_price_professional_daily_all_products
dm,hist_global_ad_weights
dm,hist_global_ad_weights_modified
dm,hist_lead_score_claim
dm,hist_lead_score_lawyer_activity
dm,hist_lead_score_lawyer_score
dm,hist_lead_score_market_score
dm,hist_lead_score_profile_score
dm,hist_lead_score_score_driver
dm,hist_lead_score_sellthrough
dm,hist_market_intelligence_detail
dm,hist_mi_ad_inventory
dm,hist_mi_ad_market_detail
dm,hist_mi_market_county_psp
dm,hist_mrr_customer_all_products
dm,hist_mrr_customer_category_all_products
dm,hist_mrr_customer_classification
dm,hist_mrr_customer_daily_all_products
dm,hist_mrr_market_classification
dm,hist_mrr_subscription
dm,hist_mrr_subscription_all_products
dm,hist_mrr_subscription_classification
dm,hist_mrr_subscription_daily_all_products
dm,hist_mrr_subscription_status_all_products
dm,hist_order_line_ad_market_fact
dm,hist_order_line_billings_purchase_fact
dm,hist_order_line_billings_refund_fact
dm,hist_order_line_purchase_fact
dm,hist_order_line_purchase_fact_bkp
dm,hist_order_line_refund_fact
dm,hist_professional_email_subs_path3_sf
dm,hist_professional_event_fact
dm,hist_professional_review_path2_sf
dm,hist_professional_specialty_path4_sf
dm,hist_profnl_target_impressions
dm,hist_sem_final_bid
dm,hist_services_event_fact
dm,hist_sf_tasks
dm,hist_sf_tasks_backup
dm,hist_sold_ad_weights_simplified
dm,historical_ad_customer_professional_map
dm,historical_ad_customer_professional_map_bkp
dm,historical_ad_dimension
dm,historical_ad_dimension_test
dm,historical_ad_market_dimension
dm,historical_ad_pricing_ppc
dm,historical_ad_region_dimension
dm,historical_advice_session_fact
dm,historical_answer_dimension
dm,historical_avvo_pro_inventory_dimension
dm,historical_avvo_pro_lite_inventory_dimension
dm,historical_channel_identity_taxonomy
dm,historical_channel_mapping
dm,historical_customer_dimension
dm,historical_event_log_fact
dm,historical_event_type_dimension
dm,historical_fee_dimension
dm,historical_geography_dimension
dm,historical_ignite_inventory_dimension
dm,historical_non_ad_inventory_dimension
dm,historical_order_detail_action_dimension
dm,historical_package_dimension
dm,historical_page_identity_taxonomy
dm,historical_professional_address_bridge
dm,historical_professional_address_dimension
dm,historical_professional_dimension
dm,historical_professional_license_dimension
dm,historical_professional_phone_dimension
dm,historical_professional_review_dimension
dm,historical_professional_specialty_bridge
dm,historical_promo_dimension
dm,historical_promotion_dimension
dm,historical_provider_dimension
dm,historical_question_dimension
dm,historical_sales_order_dimension
dm,historical_services_financial_event_type_dimension
dm,historical_services_offer_dimension
dm,historical_services_package_category_dimension
dm,historical_services_package_dimension
dm,historical_specialty_dimension
dm,historical_state_dimension
dm,historical_subscription_dimension
dm,historical_subscription_price_dimension
dm,historical_user_account_dimension
dm,historical_website_inventory_dimension
dm,holiday_dimension
dm,ignite_inventory_dimension
dm,impression_category_dim
dm,impressions_by_category
dm,impressions_by_day
dm,impressions_follow_up_daily_v2
dm,impressions_forecast
dm,imprsn_cat_dim
dm,infa_ec2_test
dm,internal_attribution_value
dm,internal_attribution_value_v2
dm,inventory_analytics_stat
dm,kenshoo_contacts
dm,kenshoo_current
dm,kenshoo_hist
dm,kpi_metrics_daily
dm,kpi_metrics_monthly
dm,kpi_metrics_weekly
dm,landing_pages
dm,landing_pages_new
dm,last_contacts
dm,lawyer_cube_data_by_day
dm,lawyer_cube_data_by_day_backup
dm,lawyer_cube_data_by_day_bkup
dm,lawyer_cube_data_by_month
dm,lawyer_cube_day_bckup
dm,lawyer_lifecycle_hist_loads
dm,lawyer_lifecycle_hist_loads_temp1
dm,lawyer_lifecycle_hist_loads_temp2
dm,lawyer_lifecycle_hist_loads_temp3
dm,lawyer_lifecycle_hist_loads_temp4
dm,lead_score_claim
dm,lead_score_income_population
dm,lead_score_lawyer_activity
dm,lead_score_lawyer_score
dm,lead_score_market_score
dm,lead_score_population_region
dm,lead_score_profile_score
dm,lead_score_region_neighbors
